Name,Value Research ID,Industry,MyOpinion,Investment,CAGR %
8K Miles Software Services,7765,IT,YES-S,,59.8
Aarti Industries,39,Chemicals,,,11.45
Aban Offshore,42,General,,,-0.1
ABB,292,Engineering,,,2.55
Abbott India,2105,Pharma,Explore,,15.62
ACC,338,Cement,,,1.32
Adani Ports and Special Economic Zone,17950,Engineering,YES - L,,24.45
Adani Power,20391,Utilities,,,40.43
Adani Transmission,22965,Utilities,Explore,,175.59
ADF Foods,174,Consumer Goods,,,8.33
Aditya Birla Fashion and Retail,22048,General,Explore,YES,179.29
Aegis Logistics,87,Services,,,11.67
Ahluwalia Contracts,6295,Engineering,,,-3.53
AIA Engineering,16461,Engineering,YES-M,,10.27
Ajanta Pharma,6424,Pharma,YES-M,,21.68
Akzo Nobel India,1623,Pharma,,,13.33
Alembic Pharmaceuticals,21475,Pharma,,,13.32
Alkem Laboratories,17126,Pharma,YES - L,,19.13
Allcargo Logistics,16704,Services,,,9.99
Amara Raja Batteries,161,Auto,Explore,YES,17.18
Ambuja Cements,1374,Cement,Explore,YES,15.49
Anant Raj,200,Real Estate,,,0.88
APL Apollo Tubes,4622,Auto,Explore,,29.22
Apollo Hospitals,239,Services,Explore,,16.82
Apollo Tyres,241,Auto,YES-M,YES,5.87
Arvind,284,Manufacturing,YES-M,YES,12.25
Ashok Leyland,306,Auto,YES - L,,18.58
Ashoka Buildcon,21008,Engineering,Explore,,18.65
Asian Paints,329,Chemicals,Explore,YES,10.38
Astra Microwave Products,7374,General,Explore,,21.49
Astral Poly Technik,17181,Chemicals,Explore,,24.36
Atul,358,Chemicals,,,9.01
Atul Auto,356,Auto,YES-S,,17.47
Aurobindo Pharma,363,Pharma,YES - L,YES,21.13
Avenue Supermarts,22663,General,Explore,,31.1
Axis Bank,5745,Bank/Finance,YES - L,YES,16.46
Bajaj Auto,18752,Auto,Explore,YES,2.15
Bajaj Corp Ltd.,20914,Consumer Goods,YES-M,,8.62
Bajaj Electricals,418,Consumer Goods,,,-3.71
Bajaj Finance,416,Bank/Finance,YES - L,YES,21.65
Bajaj Finserv,18751,Bank/Finance,YES - L,,35.35
Balaji Telefilms,6598,General,,,6.95
Balkrishna Inds.,438,Auto,YES-M,YES,12.14
Balmer Lawrie and Co.,440,Services,YES-S,,7.09
Balrampur Chini Mills,443,General,YES-S,,6.91
Banco Products (I),449,Auto,YES-S,,5.64
Bank of Baroda,451,Bank/Finance,Explore,YES,10.65
BASF India,384,Chemicals,,,7.44
Bata India,467,General,,,10
Bayer CropScience,471,Chemicals,,,4.15
BEML,515,Engineering,,,0.24
Berger Paints India,488,Chemicals,Explore,YES,9.95
BF Utilities,6711,Utilities,Explore,,21.69
BGR Energy Systems,18059,Utilities,,,0.48
Bharat Bijlee,513,Engineering,,,-0.4
Bharat Electronics,516,Manufacturing,YES - L,YES,5.11
Bharat Financial Inclusion,20575,Bank/Finance,YES-M,,4.5
Bharat Forge,518,Manufacturing,YES - L,YES,3.4
Bharti Airtel,6321,General,,,7.18
Bharti Infratel,21887,Services,,,-1.8
BHEL,520,Engineering,,YES,-3.5
Biocon,15774,Pharma,YES-M,YES,5.19
Birla Corporation,564,Cement,YES-M,,10.26
Bliss GVS Pharma,573,Pharma,YES-S,,17.17
Blue Star,583,Consumer Goods,,,5.64
Bombay Burmah,587,Consumer Goods,YES-M,,8.89
Bombay Dyeing and Mfg. Co.,590,Manufacturing,Explore,,20.47
Bosch,2522,Auto,,,0
BPCL,525,Oil and Gas,YES - L,YES,6.05
Britannia Inds.,611,Consumer Goods,Explore,,10.18
BSE,23649,General,Explore,YES,3.42
Cadila Healthcare,6179,Pharma,YES - L,YES,10.86
Can Fin Homes,646,Bank/Finance,Explore,,29.23
Capital First,18169,Bank/Finance,Explore,YES,31.99
Caplin Point Laboratories,653,Pharma,YES-S,,19.48
Castrol India,665,Oil and Gas,YES - L,,2.02
CCL Products (I),797,Consumer Goods,,,11.67
Ceat,670,Auto,YES-M,,6.78
Century Plyboards (India),15920,General,,,3.73
Century Textiles and Inds.,689,Manufacturing,Explore,,7.52
Cera Sanitaryware,7375,General,,,4.91
CESC,623,Utilities,Explore,YES,15.19
CG Power and Industrial Solutions,831,Utilities,,,-9.82
Chambal Fertilisers and Chem.,700,Chemicals,YES-S,,14.19
Cholamandalam Invest. and Fin.,740,Bank/Finance,YES-M,YES,19.12
Cipla,748,Pharma,Explore,YES,12.49
Claris Lifesciences,21086,Pharma,,,0.54
Coal India,4673,Mines/Mineral,,YES,9.62
Coffee Day Enterprises,22579,Services,Explore,,18.5
Colgate-Palmolive (I),776,Consumer Goods,,,8.13
Container Corp.,794,Services,,,7.86
Coromandel International,811,Chemicals,YES-M,,4.13
Cox and Kings,17184,Services,Explore,,28.5
Credit Analysis and Research,5806,Services,YES-S,,7.47
CRISIL,827,General,,,11.14
Cummins India,841,Engineering,,,9.29
Cyient,5968,IT,Explore,,15.36
Dabur India,870,Consumer Goods,YES - L,YES,9.71
Dalmia Bharat,21112,Cement,Explore,,23.1
DCB Bank,7306,Bank/Finance,YES-M,,19.04
DCM Shriram,855,General,YES-M,,4.91
Deepak Fertilisers and Petro.,899,Chemicals,Explore,,18.29
Delta Corp,275,Services,,,-0.04
Dewan Housing Fin. Corpn.,923,Bank/Finance,YES-M,YES,44.5
Dhanuka Agritech,934,Chemicals,Explore,YES,8.76
Dilip Buildcon,23477,Engineering,Explore,,51.52
Dish TV India,17182,Services,,,12.28
Dishman Pharma and Chem,15804,Pharma,Explore,YES,7.6
Divi's Laboratories,7301,Pharma,YES-M,,21.71
DLF,16884,Real Estate,,,-0.54
Dr. Lal Pathlabs,23201,Services,Explore,,21.52
Dr. Reddy's Lab,981,Pharma,YES - L,,9.63
Dredging Corp. of India,985,Services,,,4.79
eClerx Services,18075,IT,YES-M,,24.37
Edelweiss Financial Services,17472,Bank/Finance,YES-M,,24.36
EID-Parry (I),1005,General,YES-M,,6.3
Elgi Equipments,1081,Engineering,,,-2.46
Emami,1053,Consumer Goods,,,5.44
Emkay Global Financial,1539,Bank/Finance,YES-S,,10.4
Endurance Technologies,16605,Auto,,,-1.83
Engineers India,23561,Engineering,YES-M,YES,8.34
EPC Inds.,1011,Chemicals,,,12.7
Equitas Holdings,20604,Bank/Finance,Explore,YES,31.08
Eros International Media,21007,General,,,14.32
Escorts,1095,Auto,,,4.52
Eveready Industries (I),1120,General,,,3.3
Exide Inds.,1126,Auto,YES-M,YES,12.92
FAG Bearings India,1128,Auto,,,5.83
FDC,1130,Pharma,YES-S,YES,6.6
Federal Bank,1140,Bank/Finance,YES-M,,11.62
Federal Mogul Goetze,1316,Auto,,,7.64
Finolex Cables,1158,General,YES-M,,-
Finolex Inds.,1159,Chemicals,Explore,,2.23
Fortis Healthcare (India),17265,Services,Explore,,18.46
Future Retail,23379,General,Explore,,57.87
Gabriel India,1230,Auto,YES-S,,6.63
GAIL,1263,Oil and Gas,,,10.57
Gati,6660,Services,,,5
Gayatri Projects,6741,Real Estate,,,4.03
GE T and D (I),6285,General,,,0.54
GHCL,1395,Chemicals,YES-S,,8.34
Gillette,1708,Consumer Goods,Explore,,11.4
Glenmark Pharma.,6194,Pharma,Explore,,16.51
GNFC,1412,Chemicals,,,-0.33
Godfrey Phillips India,1313,Consumer Goods,Explore,YES,7.8
Godrej Consumer Products,6734,Consumer Goods,Explore,,13.95
Godrej Industries,1315,General,,,9.51
Godrej Properties,5917,Real Estate,Explore,,17.31
Goodyear India,1337,Auto,YES-S,,2.32
Granules India,7381,Pharma,YES-S,YES,20.22
Graphite India,1352,Engineering,,,0.71
Grasim Industries,1353,Cement,YES - L,,9.13
Grauer and Weil (I),1355,Chemicals,YES-S,,9.56
Great Eastern Shipping Co.,1357,Services,,,4.01
Greaves Cotton,1359,Engineering,,,3.83
Greenply Inds.,1363,General,YES-S,,4.07
Grindwell Norton,1368,Engineering,YES-S,,6.98
Gruh Finance,1372,Bank/Finance,YES-M,,-
GSFC,1429,Chemicals,Explore,,16.21
Gujarat Fluorochemicals,16522,Chemicals,,,-0.77
Gujarat Gas,1393,Oil and Gas,Explore,,29.58
Gujarat Industries Power,22210,Utilities,,,-17.85
Gujarat Pipavav Port,1399,Services,Explore,,-0.76
Gujarat State Petronet,6211,Oil and Gas,YES-M,YES,1.75
Havells India,1505,Engineering,Explore,,1.99
HCL Infosystems,1457,IT,,,-16.97
HCL Technologies,6105,IT,YES - L,YES,12.02
HDFC,1611,Bank/Finance,YES - L,YES,13.1
HDFC Bank,1459,Bank/Finance,YES - L,YES,19.59
HDIL,17466,Real Estate,,,-7.44
Heidelberg Cement India,2554,Cement,,,10.95
Heritage Foods,1516,Consumer Goods,,,13.77
Hero Motocorp,1518,Auto,Explore,YES,3.05
Hexaware Technologies,250,IT,Explore,,15.03
Himatsingka Seide,1540,Manufacturing,YES-S,,7.52
Hindalco Inds.,1549,Mines/Mineral,Explore,,7.23
Hindustan Media Ventures,20900,General,,,10.92
Hindustan Petroleum Corpn.,1578,Oil and Gas,Explore,YES,7.56
Hindustan Zinc,1585,Mines/Mineral,YES - L,YES,7.63
Honeywell Automation India,4039,Engineering,,,8.76
HSIL,1581,Real Estate,,,9.56
Housing & Urban Development Corpn.,6452,Real Estate,YES-S,YES,-1.93
Hindustan Unilever,1572,Consumer Goods,Explore,YES,7.47
ICICI Bank,1622,Bank/Finance,Explore,YES,9.11
ICICI Prudential Life Insurance Co. Ltd.,23527,Bank/Finance,Explore,YES,-41.74
ICRA,5851,Services,,,8.21
IDFC Bank,23138,Bank/Finance,,,0
IIFL Holdings,6324,Bank/Finance,YES-M,,17.35
India Cements,1668,Cement,,,3.39
Indiabulls Housing Finance,20721,Bank/Finance,YES - L,YES,17.98
Indiabulls Real Estate,17108,Real Estate,YES-M,,10.92
Indiabulls Ventures,18170,Bank/Finance,,,1.61
Indian Oil Corp.,1699,Oil and Gas,YES - L,YES,4.98
Indo Count Inds.,1721,Manufacturing,Explore,,26.66
Indraprastha Gas,15728,Oil and Gas,Explore,,-0.02
Indusind Bank,1751,Bank/Finance,YES - L,YES,10.67
Infibeam Incorporation,23319,Services,Explore,,35.86
Info Edge (India),17003,General,Explore,,15.87
Infosys,1764,IT,YES - L,YES,12.32
INOX Leisure,16526,Services,Explore,,37.32
Inox Wind,22767,Engineering,Explore,,43.26
Interglobe Aviation,23164,Services,Explore,,27.18
Ipca Laboratories,1807,Pharma,,,7.1
IRB Infrastructure Dev,18358,Engineering,,,13.16
ITC,1642,Consumer Goods,YES - L,YES,9.83
ITD Cementation India,5958,Cement,,,14.57
Jagran Prakashan,15765,General,,,9.45
Jain Irrigation Systems,1860,Chemicals,,,6.41
JB Chemicals and Pharma,1820,Pharma,YES-S,,7.86
JBF Industries,1821,Manufacturing,,,8.66
JBM Auto,6907,Auto,YES-S,,12.95
Jet Airways India,6708,Services,,,9.88
Jindal Steel and Power,6170,Mines/Mineral,,,5.94
JK Cement,16006,Cement,YES-M,,9.89
JK Tyre and Industries,1834,Auto,YES-S,,3.77
JM Financial,1843,Bank/Finance,YES-M,,14.83
Johnson Controls - Hitachi Air Conditioning India,196,Consumer Goods,Explore,,14.45
JSW Energy,20597,Utilities,,,9.74
JSW Steel,1922,Mines/Mineral,YES - L,YES,12.6
Jubilant Life Sciences,4293,Pharma,,,9.03
Jubilant FoodWorks,20629,Services,YES-M,,26.33
Just Dial,22074,IT,Explore,,34.98
Jyothy Laboratories,18071,Consumer Goods,Explore,,14.83
Kajaria Ceramics,1971,General,Explore,,15.18
Kalpataru Power Trans,1979,Utilities,YES-M,,7.99
Kama Holdings,6894,Chemicals,YES-S,,149.82
Kansai Nerolac Paints,1335,Chemicals,Explore,YES,16.49
Karnataka Bank,4962,Bank/Finance,,,9.66
Karur Vysya Bank,4967,Bank/Finance,YES-M,,14.5
Kaveri Seed Company,17700,Consumer Goods,,,6.15
KEC International,16548,Engineering,Explore,YES,9.82
Kei Industries,2046,Engineering,,,9.93
Kewal Kiran Clothing,16600,Manufacturing,,,0
Kirloskar Oil Engines,21091,Engineering,YES-M,YES,4.06
Kirloskar Pneumatic Co.,2099,Engineering,,,1.49
Kitex Garments,2102,Manufacturing,,,-1.58
Kohinoor Foods,3481,Consumer Goods,,,6.23
Kolte Patil Developers,18063,Real Estate,Explore,,22.32
Kotak Mahindra Bank,2118,Bank/Finance,YES - L,YES,17.35
KPIT Technologies,5971,IT,Explore,YES,21.83
KPR Mills,17606,Manufacturing,YES-M,,15.35
KRBL,2075,Consumer Goods,YES-M,,14.11
Kwality Ltd.,2157,Consumer Goods,YES-S,,26.03
L and T Finance Holdings,21427,Bank/Finance,YES - L,YES,23.39
L and T Infotech,23456,IT,Explore,,16.45
Lakshmi Machine Works,2182,Engineering,Explore,YES,3.18
Larsen and Toubro,2192,Engineering,YES - L,YES,11.8
Laurus Labs,23623,Pharma,,,13.48
LG Balakrishnan and Bros.,2159,Engineering,YES-S,,8.77
Liberty Shoes,2211,General,,,7.76
LIC Housing Fin.,2160,Bank/Finance,YES - L,YES,16.43
LT Foods,17056,Consumer Goods,YES-S,,15.34
Lupin,2240,Pharma,YES - L,YES,17.07
Lux Industries,23211,Manufacturing,,,10.37
M and M Financial Services,5039,Bank/Finance,YES-M,YES,19.33
Magma Fincorp,6456,Bank/Finance,Explore,,16.62
Mahanagar Gas,23409,Oil and Gas,Explore,YES,12.02
Mahindra Holidays and Resorts India,20333,Services,Explore,YES,22.87
Mahindra and Mahindra,2321,Auto,,,12.43
Manappuram Finance,7106,Bank/Finance,YES-M,,94.23
Manpasand Beverages,22975,Consumer Goods,Explore,,45.71
Marico,2370,Consumer Goods,Explore,,9.63
Marksans Pharma,3996,Pharma,Explore,,19.69
Maruti Suzuki India,6442,Auto,YES - L,YES,9.85
Max Financial Services,2390,Bank/Finance,YES-M,,6.25
Mercator,2426,Services,,,-0.78
Merck,6867,Pharma,,,-
Minda Industries,15853,Auto,Explore,,17.48
MindTree,17165,IT,Explore,YES,18.07
Mirza International,2466,Consumer Goods,YES-S,,11.41
Monsanto India,2506,Chemicals,,,8.41
Motherson Sumi Systems,2519,Auto,Explore,,28.96
Motilal Oswal Financial,17686,Bank/Finance,YES-M,,17.05
Mphasis,6481,IT,,,2.43
MRF,2261,Auto,YES - L,,9.04
Muthoot Finance,16822,Bank/Finance,YES-M,YES,6.74
National Aluminium Co.,2617,Mines/Mineral,,,-4.46
Nandan Denim,16002,Manufacturing,Explore,YES,14.75
Narayana Hrudayalaya,23212,Services,YES-M,,21.73
Natco Pharma,2613,Pharma,Explore,,16.36
Nava Bharat Ventures,2636,General,,,2.49
Navin Fluorine International,15717,Chemicals,YES-S,,8.44
Navkar Corporation,23111,Services,YES-S,,6.61
NBCC Ltd.,21650,Engineering,YES-M,YES,12.38
NCC,2583,Real Estate,,,7.13
NCL Industries,2561,Cement,YES-S,,10.94
Nestle India,2654,Consumer Goods,,,3.69
NHPC,5107,Utilities,YES - L,,7.65
NIIT Technologies,15854,IT,,,13.78
Nilkamal,2676,Manufacturing,YES-S,,6.3
NOCIL,2622,Chemicals,YES-S,,7.32
NTPC,5109,Utilities,YES - L,YES,6.61
Oberoi Realty,21033,Real Estate,YES-M,,6.02
OCL India,2718,Cement,YES-M,,28.1
Omaxe,16821,Real Estate,,,1.57
ONGC,2730,Oil and Gas,,,1.16
Oracle Fin Ser Software,6608,IT,YES-M,,5.53
P and G Hygiene and Health Care,3042,Consumer Goods,YES - L,,16.32
Page Industries,17174,Manufacturing,Explore,,23.06
PC Jeweller,21888,General,YES-M,,19.26
Persistent Systems,20707,IT,Explore,,19.26
Petronet LNG,15766,Oil and Gas,YES - L,YES,-17.02
Pfizer,2916,Pharma,,,7.73
Phoenix Mills,2928,Real Estate,Explore,,40.15
PI Industries,2806,Chemicals,YES-M,YES,21.31
Pidilite Industries,2933,Chemicals,Explore,YES,12.41
Piramal Enterprises,2667,Pharma,YES - L,,16.87
PNB Housing Finance,15760,Bank/Finance,Explore,YES,120.54
PNC Infratech,22918,General,,,13.25
Poly Medicure,2963,Chemicals,Explore,,17.29
Power Grid Corp.,5191,Utilities,YES - L,,15.03
Prabhat Dairy,23127,Consumer Goods,Explore,,19.53
Praj Industries,2982,Engineering,,,2.12
Prestige Estates Projects,21040,Real Estate,Explore,YES,19.61
PTC India,15771,Services,Explore,,8.51
PVR,16471,General,YES-M,YES,24.33
Rajesh Exports,3159,General,YES - L,,51.66
Rallis India,3177,Chemicals,YES-S,YES,4.68
Ramkrishna Forgings,15811,Engineering,Explore,,26.5
Rane Holdings,3197,Auto,YES-S,,7.04
Ratnamani Metals and Tubes,3220,Mines/Mineral,YES-S,YES,0.65
RBL Bank,21457,Bank/Finance,Explore,YES,0
Redington India,15683,IT,,,13.73
Relaxo Footwears,3247,General,Explore,,16.33
Reliance Capital,3249,Bank/Finance,,,10.41
Reliance Defence and Engineering,17433,Engineering,,,-7.94
Reliance Industries,3252,Oil and Gas,YES - L,YES,-2.42
Religare Enterprises,17944,Bank/Finance,,,14.19
Repco Home Finance Ltd.,21999,Bank/Finance,YES-M,YES,12.83
Sadbhav Engineering,16530,Engineering,Explore,,16.39
Sanofi India,6796,Chemicals,,,10.97
Sasken Technologies,16034,IT,YES-S,YES,-1.65
Savita Oil Technologies,3488,Chemicals,,,-0.59
Shakti Pumps (India),3531,Engineering,YES-S,,31.05
Shalimar Paints,3532,Chemicals,,,-1.37
Sharda Cropchem,22558,Chemicals,Explore,,18.55
Sharda Motor Industries,22065,Engineering,,,12.14
Shipping Corp. of India,3571,Services,,,-3.25
Shree Cement,3589,Cement,Explore,,59.36
Shriram City Union Finance,5372,Bank/Finance,YES-M,,19.88
Shriram Transport Finance,3640,Bank/Finance,YES - L,,10.32
Sical Logistics,3733,Services,,,0.84
Siemens,3656,Engineering,,,1.42
SJVN,20785,Utilities,,,10.98
SKF India,3349,Engineering,,,3.63
SML Isuzu,3973,Auto,YES-S,,4.26
Sobha,16913,Real Estate,,,7.14
Solar Industries,16554,Engineering,,,14.01
Somany Ceramics,3364,Chemicals,Explore,,17.88
Sonata Software,5951,IT,Explore,YES,8.72
Spicejet,6850,Services,YES-M,,9.94
Sreeleathers,22062,Consumer Goods,,,12.6
SREI Infrastructure Finance,3366,Bank/Finance,YES-M,,11.44
SRF,3367,Manufacturing,YES-M,,4.83
State Bank of India,3820,Bank/Finance,Explore,YES,10.57
Strides Shasun,6185,Pharma,,,10.86
Sun Pharmaceutical Inds.,3887,Pharma,YES - L,YES,29.65
Sun TV Network,16602,General,YES - L,,8.77
Sundaram Finance,5433,Bank/Finance,YES-M,,12.49
Sundram Fasteners,3894,Bank/Finance,,,9.86
Sunteck Realty,7639,Real Estate,YES-S,,72.14
Suprajit Eng,5628,Auto,YES-S,,18.4
Supreme Industries,3929,Chemicals,,,8.81
Sutlej Textiles and Industries,17055,Manufacturing,YES-S,,6.08
Suven Life Sciences,3963,Pharma,,,-1
Suzlon Energy,16048,Utilities,,,-10.11
Swaraj Engines,3972,Engineering,,,9.21
Symphony,3989,Consumer Goods,YES-M,,13.35
Syngene International,23050,Pharma,YES-M,,21.94
Take Solutions,17604,IT,Explore,,15.06
Tata Chemicals,4033,Chemicals,YES-M,,4.41
Tata Coffee,6533,Consumer Goods,YES-S,,3.18
Tata Communications,4348,General,,,7.75
Tata Consultancy Services,15850,IT,YES - L,YES,16.15
Tata Elxsi,4036,IT,Explore,,17.06
Tata Global Beverages,4050,General,,,1.7
Tata Investment Corp.,4042,Bank/Finance,,,6.05
Tata Motors,4037,Auto,Explore,,14.51
Tata Power,4047,Utilities,Explore,,10.87
Tata Sponge Iron,4049,Mines/Mineral,YES-S,YES,-6.4
Tata Steel,4043,Mines/Mineral,Explore,YES,-0.41
TeamLease Services,23240,Services,Explore,,23.53
Tech Mahindra,16800,IT,Explore,,28.4
Techno Electric and Engg,4060,Engineering,YES-S,,7.66
The Ramco Cements,2285,Cement,,,1.69
Thermax,4090,Engineering,,,-2.26
Thomas Cook (India),4094,Services,Explore,,58.3
Thyrocare Technologies,23353,Services,YES-S,,13.82
Tide Water Oil Co. (India),5492,General,YES-S,,6.21
Timken India,4052,Engineering,,,12
Titan Company,4114,General,,,10.25
Torrent Pharmaceuticals,4126,Pharma,YES-M,,15.23
Torrent Power,17005,Utilities,,,5.71
Trent,2176,General,,,3.25
Trident,46,Manufacturing,YES-S,,14.89
TTK Prestige,4007,Consumer Goods,,,8.13
TVS Motor Co.,6421,Auto,,,9.79
TVS Srichakra,4010,Auto,Explore,,46.44
UFLEX,1172,Chemicals,YES-S,,8.45
Ujjivan Financial Services,22699,Bank/Finance,Explore,YES,0
Ultratech Cement,15812,Cement,YES - L,YES,4.83
Unichem Laboratories,4206,Pharma,,,9.09
UPL,5331,Chemicals,YES - L,YES,16.14
V-Guard Industries,18410,General,Explore,,16.83
VA Tech Wabag,21004,Engineering,,,14.46
Vakrangee,4286,IT,Explore,,23.74
Vardhman Textiles,2316,Manufacturing,YES-M,,7.11
Varun Beverages,23577,Consumer Goods,,,6.27
Vedanta,3520,Mines/Mineral,Explore,YES,32.49
Veto Switchgears and Cables,21869,Engineering,Explore,,22.16
Vinati Organics,4371,Chemicals,YES-S,YES,10.83
VIP Industries,4270,General,,,7.75
Voltamp Transformers,16857,Engineering,YES-S,,2.35
Voltas,4414,General,YES-M,,2.15
VRL Logistics,22886,Services,,,10.62
VST Industries,4274,Consumer Goods,,,7.38
VST Tillers Tractors,4275,Engineering,YES-S,,7.4
Wabco India,18640,Engineering,,,13.04
Websol Energy Systems,4434,Utilities,YES-S,,7.84
Welspun India,4441,Engineering,YES-M,,18.85
Whirlpool,4458,Consumer Goods,,,4.43
Wim Plast,4469,Chemicals,,,0
Wipro,4475,IT,,,7.09
Yes Bank,15907,Bank/Finance,YES - L,YES,16.66
Zee Entertainment Ent.,4505,General,Explore,YES,10.83
Zensar Technologies,1196,IT,YES-S,YES,9.12
Zydus Wellness,7997,Consumer Goods,,,4.36